date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:00	72629/72629	---M-Z	200	added ('OK')	text/html	date:Thu,%2028%20Mar%202024%2018:58:54%20GMT	https://aquadroom.be/zwembad/	C:/My%20Web%20Sites/aquadroom/aquadroom.be/zwembad/index.html	(from )
12:49:00	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2022%20Jun%202024%2010:49:00%20GMT	https://aquadroom.be/robots.txt		(from )
12:49:01	109816/109816	---MCZ	200	added ('OK')	text/css	etag:W/%2265997fc9-1acf8%22	http://aquadroom.be/wp-content/cache/wpfc-minified/1rq4pre0/a1hxv.css	C:/My%20Web%20Sites/aquadroom/aquadroom.be/wp-content/cache/wpfc-minified/1rq4pre0/a1hxv.css	(from https://aquadroom.be/zwembad/)
12:49:03	194172/194172	---MCZ	200	added ('OK')	text/css	etag:W/%2265997fc9-2f67c%22	http://aquadroom.be/wp-content/cache/wpfc-minified/q9oxdv8n/a1hxv.css	C:/My%20Web%20Sites/aquadroom/aquadroom.be/wp-content/cache/wpfc-minified/q9oxdv8n/a1hxv.css	(from https://aquadroom.be/zwembad/)
12:49:03	935/935	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265997fc9-3a7%22	http://aquadroom.be/wp-content/cache/wpfc-minified/4e3ebxl/a1hxv.js	C:/My%20Web%20Sites/aquadroom/aquadroom.be/wp-content/cache/wpfc-minified/4e3ebxl/a1hxv.js	(from https://aquadroom.be/zwembad/)
12:49:03	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Sat,%2022%20Jun%202024%2010:49:03%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/aquadroom/www.googletagmanager.com/gtm.45445.delayed	(from https://aquadroom.be/zwembad/)
12:49:04	101302/101302	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265997fc9-18bb6%22	http://aquadroom.be/wp-content/cache/wpfc-minified/3odnykb/a1hxv.js	C:/My%20Web%20Sites/aquadroom/aquadroom.be/wp-content/cache/wpfc-minified/3odnykb/a1hxv.js	(from https://aquadroom.be/zwembad/)
12:49:04	1575/1575	---M--	200	added ('OK')	image/png	etag:%226030f013-627%22	https://aquadroom.be/wp-content/uploads/2021/02/cropped-Aquadroom-logo-favicon-32x32.png	C:/My%20Web%20Sites/aquadroom/aquadroom.be/wp-content/uploads/2021/02/cropped-Aquadroom-logo-favicon-32x32.png	(from https://aquadroom.be/zwembad/)
12:49:04	27339/27339	---M--	200	added ('OK')	image/png	etag:%226030f012-6acb%22	https://aquadroom.be/wp-content/uploads/2021/02/cropped-Aquadroom-logo-favicon-192x192.png	C:/My%20Web%20Sites/aquadroom/aquadroom.be/wp-content/uploads/2021/02/cropped-Aquadroom-logo-favicon-192x192.png	(from https://aquadroom.be/zwembad/)
12:49:05	24936/24936	---M--	200	added ('OK')	image/png	etag:%226030f012-6168%22	https://aquadroom.be/wp-content/uploads/2021/02/cropped-Aquadroom-logo-favicon-180x180.png	C:/My%20Web%20Sites/aquadroom/aquadroom.be/wp-content/uploads/2021/02/cropped-Aquadroom-logo-favicon-180x180.png	(from https://aquadroom.be/zwembad/)
